Year,GeogName,GeogID,Borough,TotalPop,Hispanic/Latino,White,Black,AmericanIndian,Asian,Puerto Rican
2014,East Williamsburg,BK90,Brooklyn,"34,105","10,889","15,326","3,127",37,"4,200","5,232"
2014,East Flatbush-Farragut,BK91,Brooklyn,"51,723","3,022",911,"46,105",19,784,726
2014,Starrett City,BK93,Brooklyn,"12,854","2,804","3,188","6,311",54,356,"1,602"
2014,Erasmus,BK95,Brooklyn,"28,357","3,113",409,"23,881",11,443,480
2014,Rugby-Remsen Village,BK96,Brooklyn,"55,669","3,106",740,"50,414",161,523,"1,306"
2014,park-cemetery-etc-Brooklyn,BK99,Brooklyn,,,,,NA,,
2014,Claremont-Bathgate,BX01,Bronx,"33,205","18,386",335,"14,093",84,16,"8,394"
2014,Eastchester-Edenwald-Baychester,BX03,Bronx,"35,367","8,559","1,265","24,339",127,559,"4,640"
2014,Bedford Park-Fordham North,BX05,Bronx,"53,362","38,252","3,738","8,375",42,"2,242","11,164"
2014,Belmont,BX06,Bronx,"27,395","16,519","5,780","4,142",57,462,"5,861"
2014,Bronxdale,BX07,Bronx,"35,587","18,245","4,219","10,807",64,"1,624","7,914"
2014,West Farms-Bronx River,BX08,Bronx,"36,844","24,395",852,"9,072",57,"1,615","9,746"
2014,Soundview-Castle Hill-Clason Point-Harding Park,BX09,Bronx,"55,256","32,082",927,"20,234",54,"1,040","19,161"
2014,Pelham Bay-Country Club-City Island,BX10,Bronx,"26,963","8,268","16,503",726,18,"1,101","5,508"
2014,Co-op City,BX13,Bronx,"47,442","14,350","3,795","27,958",95,328,"8,228"
2014,East Concourse-Concourse Village,BX14,Bronx,"64,821","39,763",938,"22,154",358,870,"11,323"
