BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS,BLOCK,LOT,BUILDING CLASS,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQ FT,GROSS SQ FT,YEAR BUILT
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3280,48,D7,2985 WEBSTER AVENUE,10458,44,1,45,"7,499","31,267",2013
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3283,25,D7,2732 MARION AVENUE,10458,33,2,35,"10,054","39,512",2007
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3305,45,D3,2903 VALENTINE AVENUE,10458,53,0,53,"7,750","46,549",2007
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3305,58,D1,2881 VALENTINE AVENUE,10458,16,0,16,"3,250","16,596",2006
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3311,25,C1,3152 VILLA AVENUE,10468,16,0,16,"5,000","14,000",2013
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3312,80,D1,170 EAST MOSHOLU PARKWAY,10458,27,0,27,"4,198","27,163",2012
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3318,79,D1,2776 MORRIS AVENUE,10468,15,0,15,"2,381","14,459",2012
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3322,35,D1,3185 VILLA AVENUE,10468,39,0,39,"5,000","27,462",2013
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3322,57,D3,3121 VILLA AVENUE,10468,111,0,111,"14,144","106,586",2006
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3331,48,D7,390 EAST 204 STREET,10467,33,4,37,"6,900","35,082",1927
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3347,70,D7,305 EAST 207 STREET,10467,10,1,11,"3,140","13,979",2006
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3355,90,D7,3322 DECATUR AVENUE,10467,122,1,123,"37,243","144,463",2009
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3356,85,D7,301 EAST GUN HILL ROAD,10467,32,3,35,"7,499","42,665",2005
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3284,32,C1,372 EAST 199 STREET,10458,8,0,8,"2,500","9,450",2009
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3284,40,C1,355 OLIVER PLACE,10458,8,0,8,"3,750","9,450",2011
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3311,36,C1,3180B VILLA AVENUE,10468,8,0,8,"2,500","7,000",2004
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3311,118,C1,192 EAST 205 STREET,10458,8,0,8,"2,411","6,716",2015
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3348,166,C1,3335 HULL AVENUE,10467,8,0,8,"2,600","6,764",2005
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3348,167,C1,3333 HULL AVENUE,10467,8,0,8,"2,570","6,836",2005
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3348,168,C1,3331 HULL AVENUE,10467,8,0,8,"2,606","6,768",2005
2,BEDFORD PARK/NORWOOD,14  4-10 FAMILY RENTALS,2B,3349,14,C1,3144 HULL AVENUE,10467,8,0,8,"2,500","5,780",2010
2,BELMONT,03  3-FAMILY,1,3066,7,C0,2416 HOFFMAN STREET,10458,3,0,3,"3,406","3,300",2005
2,BELMONT,03  3-FAMILY,1,3066,8,C0,2418 HOFFMAN STREET,10458,3,0,3,"2,462","3,300",2005
2,BELMONT,03  3-FAMILY,1,3066,12,C0,2424 HOFFMAN STREET,10458,3,0,3,"4,616","3,462",2008
2,BELMONT,03  3-FAMILY,1,3066,112,C0,2426 HOFFMAN STREET,10458,3,0,3,"4,616","3,462",2008
2,BELMONT,03  3-FAMILY,1,3066,145,C0,574 EAST 189 STREET,10458,3,0,3,"1,510","2,868",2009
2,BELMONT,03  3-FAMILY,1,3066,146,C0,576 EAST 189 STREET,10458,3,0,3,"1,634","2,785",2009
