Queens 421A Exempt Properties as of FINAL Roll FY'13/14,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 13/14,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
Building Class Category is based on Building Class as of Final 13/14,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,673,38,C1,41 STREET                                ,11101, 17 , -   , 17 ," 9,500 "," 17,805 ",2004
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,678,3,C7,40-13 BROADWAY                           ,11103, 10 , 2 , 12 ," 5,000 "," 13,900 ",2005
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,839,7,D7,28-21 ASTORIA BOULEVARD                  ,11102, 24 , 2 , 26 ," 8,678 "," 38,750 ",2004
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,872,65,C1,25-20 CRESCENT STREET                    ,11102, 16 , -   , 16 ," 10,000 "," 16,200 ",2003
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,885,1,D1,26-36 27 AVENUE                          ,11363, 117 , -   , 117 ," 16,729 "," 127,338 ",2008
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,885,16,C1,18-05 27 AVENUE                          ,11102, 11 , -   , 11 ," 2,640 "," 15,900 ",2008
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,904,21,D1,25-66 12 STREET                          ,11102, 28 , -   , 28 ," 11,301 "," 25,297 ",2002
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,502,41,D1,11-15 BROADWAY                           ,11106, 79 , -   , 79 ," 20,106 "," 76,129 ",2011
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,515,31,D1,12-26 30 AVENUE                          ,11102, 37 , -   , 37 ," 13,575 "," 39,745 ",2008
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,531,50,C1,14-38 31 DRIVE                           ,11106, 12 , -   , 12 ," 7,504 "," 18,187 ",2006
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,533,37,D1,14-34 31 AVENUE                          ,11106, 14 , -   , 14 ," 4,726 "," 13,128 ",2010
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,535,51,D1,30-50 21 STREET                          ,11102, 65 , -   , 65 ," 14,700 "," 59,247 ",2012
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,543,2,D7,27-35 21 STREET                          ,11102, 23 , 2 , 25 ," 3,600 "," 25,728 ",2008
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,552,22,D6,21-16 31 AVENUE                          ,11106, 32 , 1 , 33 ," 8,550 "," 33,500 ",2009
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,589,54,D6,31-32 31 STREET                          ,11106, 17 , 2 , 19 ," 4,500 "," 9,960 ",2004
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,594,51,D3,28-08 30 STREET                          ,11102, 16 , -   , 16 ," 3,900 "," 15,590 ",2009
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,596,33,D9,26-17 28 STREET                          ,11102, 19 , 1 , 20 ," 6,938 "," 20,739 ",2010
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,596,44,D7,28-16 ASTORIA BOULEVARD                  ,11102, 26 , 1 , 27 , 870 , 2 ,2012
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,596,45,D7,28-18 ASTORIA BOULEVARD                  ,11102, 26 , 1 , 27 ," 5,937 "," 30,608 ",2012
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,632,24,C1,25-23 34 STREET                          ,11103, 12 , -   , 12 ," 4,000 "," 11,303 ",2007
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,652,80,D1,25-82 37 STREET                          ,11103, 16 , -   , 16 ," 5,000 "," 13,480 ",2005
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,657,17,D7,31-61 37 STREET                          ,11103, 10 , 1 , 11 ," 5,000 "," 22,147 ",2011
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,663,43,C7,40-13 30 AVENUE                          ,11103, 12 , 2 , 14 ," 9,900 "," 11,000 ",1925
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,831,89,D7,21-60 33 STREET                          ,11105, 21 , 4 , 25 ," 12,600 "," 23,857 ",2007
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,839,30,D7,25-15 27 STREET                          ,11102, 22 , 1 , 23 ," 4,025 "," 30,277 ",2008
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,839,31,D7,25-13 27 STREET                          ,11102, 22 , 1 , 23 ," 3,750 "," 30,277 ",2008
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,848,42,D9,20-14 31 STREET                          ,11105, 47 , -   , 47 ," 14,488 "," 42,303 ",2011
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,855,3,C1,27-07 23 AVENUE                          ,11105, 12 , -   , 12 ," 5,002 "," 9,986 ",2012
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,861,33,D7,25-15 CRESCENT STREET                    ,11102, 12 , 2 , 14 ," 4,575 "," 12,143 ",2004
4,ASTORIA                  ,09  RENTALS - UNREGULATED                   ,2,872,19,C7,25-65 23 STREET                          ,11102, 16 , 1 , 17 ," 8,863 "," 17,760 ",2002
