Borough,lon,lat
Manhattan,-73.9761292,40.763252
Manhattan,-73.98427699999999,40.7641772
Manhattan,-73.98716759999999,40.7650093
Manhattan,-73.9853132,40.7467042
Manhattan,-73.9821343,40.7477125
Manhattan,-73.9810129,40.7441507
Manhattan,-73.9745246,40.7480649
Manhattan,-73.9754961,40.7485499
Manhattan,-73.9756854,40.7485955
Manhattan,-73.9744972,40.7487061
Manhattan,-73.9855674,40.7450704
Manhattan,-73.98409199999999,40.7444162
Manhattan,-73.981604,40.743361
Manhattan,-73.9816381,40.7433797
Manhattan,-73.9820665,40.7451927
Manhattan,-73.9797129,40.7486332
Manhattan,-73.97737219999999,40.7492334
Manhattan,-73.9769412,40.7455379
Manhattan,-73.983932,40.7470085
Manhattan,-74.006407,40.726999
Manhattan,-74.003986,40.7217427
Manhattan,-74.0090981,40.7242667
Manhattan,-74.0083284,40.72499920000001
Manhattan,-74.0087133,40.7248466
Manhattan,-74.0041969,40.72405089999999
Manhattan,-74.0108577,40.7244976
Manhattan,-74.00102930000001,40.7215059
Manhattan,-74.0037016,40.7228365
Manhattan,-74.000089,40.7224603
Manhattan,-74.0095065,40.7250948
Manhattan,-74.0098257,40.7247972
Manhattan,-74.00720439999999,40.7110156
Manhattan,-74.0024983,40.707326
Manhattan,-74.00073689999999,40.7083653
Manhattan,-74.002642,40.707451
Manhattan,-74.0053228,40.7111767
Manhattan,-74.0019397,40.707871
Manhattan,-74.0154682,40.7162738
Manhattan,-74.00744399999999,40.718154
Manhattan,-74.01056109999999,40.7237394
Manhattan,-74.0118201,40.7158065
Manhattan,-74.0126088,40.7160005
Manhattan,-74.0101057,40.7216536
Manhattan,-74.01024679999999,40.7225968
Manhattan,-74.01160089999999,40.7151704
Manhattan,-74.00606189999999,40.71988
Manhattan,-74.0060877,40.7198687
Manhattan,-74.0107883,40.7223839
Manhattan,-74.008766,40.722461
Manhattan,-74.00875959999999,40.7224919
Manhattan,-74.00885,40.722229
Manhattan,-74.0119464,40.7157539
Manhattan,-73.9570586,40.7726693
Manhattan,-73.959367,40.759742
Manhattan,-73.9650923,40.7657118
Manhattan,-73.9576858,40.7703626
Manhattan,-73.9572337,40.7739303
Manhattan,-73.955655,40.7719956
Manhattan,-73.954943599999993,40.7730272
Manhattan,-73.9582013,40.7643329
Manhattan,-73.9536469,40.7686363
Manhattan,-73.95991099999999,40.767496
Manhattan,-73.94773099999999,40.7809657
Manhattan,-73.945872,40.7823318
Manhattan,-73.94622799999999,40.780395
Manhattan,-73.955106,40.7790608
Manhattan,-73.95498429999999,40.7795294
Manhattan,-73.9556509,40.7787889
Manhattan,-73.9537742,40.7780518
Manhattan,-73.94904199999999,40.783983
Manhattan,-73.9516864,40.77720480000001
Manhattan,-73.9443896,40.7760661
Manhattan,-73.9590024,40.7771221
Manhattan,-73.956394,40.780597
Manhattan,-73.9514131,40.783327
Manhattan,-73.95480739999999,40.7747533
Manhattan,-73.9532329,40.774919
